----- 8-10-2012 22:44:17: Job 'RPLiveTVServerSource': ANALYSIS started by On File Change on computer 'QUAD' (GoodSync 9.0.2.4 on Windows 7) -----
RPLiveTVServerSource: C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV =forced-PropDels=> D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE, SavePrevVers, CleanupPrevVers=30d, CleanupOldGens=12m, TmpDest, EstReq, CopyLocked, DetectMovesAndRenames, DetectFolderMoves, FileLinksDrill, CaseSens, Reconnect=3, CopyCreateTime
Exclude licens*.rfo|cache.rfo|mru.rfo|mpp*.rfo|RoboForm Online Account.rfp|name *._gstmp|/System Volume Information|Thumbs.db|.DS_Store 
Left: Reading State File C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\_gsdata_\_file_state._gs
Locking folder C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV for write
Left: Files: 4.202 (excluded 0). Folders: 552 (excluded 1). C: NTFS, Free: 50,9 GB, Total: 195 GB
Right: Reading State File D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\_gsdata_\_file_state._gs
Locking folder D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE for write
Right: Files: 4.192 (excluded 0). Folders: 552 (excluded 1). D: NTFS, Free: 160 GB, Total: 931 GB
On disk file:///D: space required for sync is 11,8 MB, you have 160 GB
Changes: 90, Conflicts: 0, CopyTime: 0, CopyState: 0, Errors: 0
Left to Right: Copy File: 89 Delete File: 1 
Copy New 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\MediaStreamer\bin\Release\ShellUtilities.dll' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\MediaStreamer\bin\Release\ShellUtilities.dll'
Copy New 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\MediaStreamer\bin\Release\ShellUtilities.pdb' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\MediaStreamer\bin\Release\ShellUtilities.pdb'
Copy New 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\MediaStreamer\bin\Release\UltraID3Lib.dll' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\MediaStreamer\bin\Release\UltraID3Lib.dll'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\MediaStreamer\obj\Release\DesignTimeResolveAssemblyReferencesInput.cache' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\MediaStreamer\obj\Release\DesignTimeResolveAssemblyReferencesInput.cache'
Copy New 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\MediaStreamer\obj\Release\MediaStreamer.dll' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\MediaStreamer\obj\Release\MediaStreamer.dll'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoService\bin\Release\CommonEPG.dll' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoService\bin\Release\CommonEPG.dll'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoService\bin\Release\CommonEPG.pdb' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoService\bin\Release\CommonEPG.pdb'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoService\bin\Release\MediaStreamer.dll' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoService\bin\Release\MediaStreamer.dll'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoService\bin\Release\MediaStreamer.pdb' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoService\bin\Release\MediaStreamer.pdb'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoService\bin\Release\MSEPG.dll' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoService\bin\Release\MSEPG.dll'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoService\bin\Release\MSEPG.pdb' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoService\bin\Release\MSEPG.pdb'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoService\bin\Release\RemotePotatoService.exe' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoService\bin\Release\RemotePotatoService.exe'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoService\bin\Release\RemotePotatoService.pdb' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoService\bin\Release\RemotePotatoService.pdb'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoService\bin\Release\RPServer.dll' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoService\bin\Release\RPServer.dll'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoService\bin\Release\RPServer.pdb' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoService\bin\Release\RPServer.pdb'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoService\bin\Release\ShellUtilities.dll' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoService\bin\Release\ShellUtilities.dll'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoService\bin\Release\ShellUtilities.pdb' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoService\bin\Release\ShellUtilities.pdb'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoService\bin\Release\WTVTranscoder.dll' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoService\bin\Release\WTVTranscoder.dll'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoService\bin\Release\WTVTranscoder.pdb' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoService\bin\Release\WTVTranscoder.pdb'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoService\obj\Release\DesignTimeResolveAssemblyReferencesInput.cache' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoService\obj\Release\DesignTimeResolveAssemblyReferencesInput.cache'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoService\obj\Release\RemotePotatoService.csproj.FileListAbsolute.txt' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoService\obj\Release\RemotePotatoService.csproj.FileListAbsolute.txt'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoService\obj\Release\RemotePotatoService.csproj.GenerateResource.Cache' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoService\obj\Release\RemotePotatoService.csproj.GenerateResource.Cache'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoService\obj\Release\RemotePotatoService.csprojResolveAssemblyReference.cache' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoService\obj\Release\RemotePotatoService.csprojResolveAssemblyReference.cache'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoService\obj\Release\RemotePotatoService.exe' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoService\obj\Release\RemotePotatoService.exe'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoService\obj\Release\RemotePotatoService.pdb' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoService\obj\Release\RemotePotatoService.pdb'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoService\obj\Release\RemotePotatoService.ProjectInstaller.resources' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoService\obj\Release\RemotePotatoService.ProjectInstaller.resources'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoService\obj\Release\RemotePotatoService.Service1.resources' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoService\obj\Release\RemotePotatoService.Service1.resources'
Copy New 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoSetup\Release\RemotePotatoSetup.tmp' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoSetup\Release\RemotePotatoSetup.tmp'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoSetup\Release\setup.exe' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoSetup\Release\setup.exe'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoUI\bin\Release\CommonEPG.dll' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoUI\bin\Release\CommonEPG.dll'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoUI\bin\Release\CommonEPG.pdb' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoUI\bin\Release\CommonEPG.pdb'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoUI\bin\Release\MediaStreamer.dll' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoUI\bin\Release\MediaStreamer.dll'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoUI\bin\Release\MediaStreamer.pdb' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoUI\bin\Release\MediaStreamer.pdb'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoUI\bin\Release\MSEPG.dll' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoUI\bin\Release\MSEPG.dll'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoUI\bin\Release\MSEPG.pdb' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoUI\bin\Release\MSEPG.pdb'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoUI\bin\Release\RemotePotatoSettings.dll' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoUI\bin\Release\RemotePotatoSettings.dll'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoUI\bin\Release\RemotePotatoSettings.pdb' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoUI\bin\Release\RemotePotatoSettings.pdb'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoUI\bin\Release\RemotePotatoUI.exe' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoUI\bin\Release\RemotePotatoUI.exe'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoUI\bin\Release\RemotePotatoUI.pdb' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoUI\bin\Release\RemotePotatoUI.pdb'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoUI\bin\Release\RPServer.dll' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoUI\bin\Release\RPServer.dll'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoUI\bin\Release\RPServer.pdb' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoUI\bin\Release\RPServer.pdb'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoUI\bin\Release\ShellUtilities.dll' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoUI\bin\Release\ShellUtilities.dll'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoUI\bin\Release\ShellUtilities.pdb' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoUI\bin\Release\ShellUtilities.pdb'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoUI\bin\Release\WTVTranscoder.dll' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoUI\bin\Release\WTVTranscoder.dll'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoUI\bin\Release\WTVTranscoder.pdb' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoUI\bin\Release\WTVTranscoder.pdb'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoUI\obj\Release\DesignTimeResolveAssemblyReferencesInput.cache' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoUI\obj\Release\DesignTimeResolveAssemblyReferencesInput.cache'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoUI\obj\Release\RemotePotatoServer.Form1.resources' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoUI\obj\Release\RemotePotatoServer.Form1.resources'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoUI\obj\Release\RemotePotatoServer.FormChannelImportingOptions.resources' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoUI\obj\Release\RemotePotatoServer.FormChannelImportingOptions.resources'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoUI\obj\Release\RemotePotatoServer.FormConnectionInformation.resources' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoUI\obj\Release\RemotePotatoServer.FormConnectionInformation.resources'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoUI\obj\Release\RemotePotatoServer.FormConnectionWizard.resources' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoUI\obj\Release\RemotePotatoServer.FormConnectionWizard.resources'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoUI\obj\Release\RemotePotatoServer.FormDonationRequest.resources' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoUI\obj\Release\RemotePotatoServer.FormDonationRequest.resources'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoUI\obj\Release\RemotePotatoServer.FormFoldersCollection.resources' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoUI\obj\Release\RemotePotatoServer.FormFoldersCollection.resources'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoUI\obj\Release\RemotePotatoServer.FormInputBox.resources' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoUI\obj\Release\RemotePotatoServer.FormInputBox.resources'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoUI\obj\Release\RemotePotatoServer.FormMediaLibraryAccountSetter.resources' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoUI\obj\Release\RemotePotatoServer.FormMediaLibraryAccountSetter.resources'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoUI\obj\Release\RemotePotatoServer.FormThemesChooser.resources' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoUI\obj\Release\RemotePotatoServer.FormThemesChooser.resources'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoUI\obj\Release\RemotePotatoServer.FormUserManagement.resources' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoUI\obj\Release\RemotePotatoServer.FormUserManagement.resources'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoUI\obj\Release\RemotePotatoServer.frmPleaseWait.resources' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoUI\obj\Release\RemotePotatoServer.frmPleaseWait.resources'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoUI\obj\Release\RemotePotatoServer.Properties.Resources.resources' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoUI\obj\Release\RemotePotatoServer.Properties.Resources.resources'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoUI\obj\Release\RemotePotatoServer.ucConnectionSummary.resources' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoUI\obj\Release\RemotePotatoServer.ucConnectionSummary.resources'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoUI\obj\Release\RemotePotatoUI.csproj.FileListAbsolute.txt' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoUI\obj\Release\RemotePotatoUI.csproj.FileListAbsolute.txt'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoUI\obj\Release\RemotePotatoUI.csproj.GenerateResource.Cache' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoUI\obj\Release\RemotePotatoUI.csproj.GenerateResource.Cache'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoUI\obj\Release\RemotePotatoUI.csprojResolveAssemblyReference.cache' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoUI\obj\Release\RemotePotatoUI.csprojResolveAssemblyReference.cache'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoUI\obj\Release\RemotePotatoUI.exe' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoUI\obj\Release\RemotePotatoUI.exe'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RemotePotatoUI\obj\Release\RemotePotatoUI.pdb' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoUI\obj\Release\RemotePotatoUI.pdb'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RPServer\bin\Release\CommonEPG.dll' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RPServer\bin\Release\CommonEPG.dll'
Copy Over 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\RPServer\bin\Release\CommonEPG.pdb' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RPServer\bin\Release\CommonEPG.pdb'
